page,text,left,top,width,height
1,L1,547,1783,40,40
1,SIM ATT,550,1607,32,117
1,A,545,1490,38,37
1,MAP CAM,551,1338,31,119
1,B,550,1216,38,25
1,LS H.F ANT,555,1035,34,153
1,C,553,958,39,31
1,IR COVER,560,784,33,135
1,D,558,685,37,32
1,UV COVER,562,515,33,136
1,E,561,421,39,23
1,10/21/27,473,207,132,33
1,COVER/POS,585,1309,35,150
1,+,656,1708,22,18
1,+X FWD,653,1575,31,102
1,0,657,1440,26,19
1,CLOSED,656,1308,30,100
1,0 RETR,657,1073,32,117
1,0 CLOSED,663,772,32,151
1,0 CLOSED,663,506,32,151
1,-,699,1711,9,14
1,-X FWD,687,1576,30,99
1,1,690,1446,26,11
1,OPEN/EXTD,689,1258,34,151
1,1 EXTD,692,1073,31,115
1,1 OPEN,696,806,30,116
1,1 OPEN,697,540,31,117
1,*,721,1710,17,16
1,NON SIM,720,1558,31,117
1,2,724,1442,27,16
1,OPEN/RETR,723,1258,35,152
1,EMERGENCY,680,343,156,32
1,F,860,1498,35,24
1,MAP CAM/,856,1326,33,135
1,G,862,1220,39,39
1,LS,862,1156,28,35
1,H,865,958,37,29
1,IR,866,892,27,33
1,I,866,689,38,12
1,UV,868,629,26,34
1,J,868,421,38,23
1,L2,860,1778,39,53
1,PAN CAM,855,1604,31,119
1,LASER ALTM,889,1293,34,168
1,0,957,1709,27,17
1,OFF/STBY,956,1543,34,134
1,0 OFF/OFF,956,1294,36,166
1,0 OFF,962,1089,31,101
1,0 OFF,961,824,31,102
1,0 OFF,965,560,32,102
1,1,991,1715,26,10
1,PWR/STBY,991,1545,34,133
1,1 STBY/OFF,989,1277,36,183
1,1 HF MODE,995,1023,33,164
1,1 ON,997,841,30,83
1,1 ON,999,577,31,83
1,2,1025,1711,26,16
1,PWR/OPERATE,1024,1495,36,183
1,2 ON/ON,1024,1328,32,133
1,2 VHF MODE,1029,1006,34,183
1,3,1058,1711,26,16
1,BOOST/STBY,1058,1511,35,166
1,3,1059,1446,27,16
1,STBY/ON,1058,1296,33,118
1,3 RECV ONLY,1064,991,36,199
1,4,1093,1446,26,16
1,ON/OFF,1092,1312,33,100
1,4 STBY,1100,1074,31,117
1,5,1126,1447,26,15
1,ON(IMC-OFF),1120,1232,42,182
1,/OFF,1160,1312,33,69
1,USUAL CONFIGURATIONS,1222,1506,44,334
1,PRE - SPS BURN PREP (*0000),1285,1392,54,447
1,SLEEP (+0011) or (+0111),1292,786,55,393
1,MIN POWER ( 0000),1303,445,43,280
1,(31000) or (31011),1326,1222,47,282
1,(01011),1339,964,37,110
1,(00000),1344,446,36,109
1,SIM BAY SECURE,1394,1608,39,233
1,( 0000) or ( 0001),1400,1075,46,295
1,"(Dumps, Thermal, Thrusters)",1418,1393,59,446
1,(01011),1436,1260,36,110
2,Lambeth,128,133,343,67
2,2036,127,229,615,215
2,"OUR FUTURE, OUR LAMBETH",131,473,442,28
2,UNDERGROUND,313,963,105,18
2,ROUND,477,1018,94,41
2,NDERGR,651,1021,138,31
2,DIVERSITY,923,1411,519,66
2,THEOLDVIC,809,1768,337,30
2,Lambeth,1175,2192,311,64
3,"Early Printed, Science, Medicine",445,237,376,30
3,"Natural History, Travel & Exploration",410,273,444,31
3,"Cartography, Literature, Americana,",426,309,415,30
3,Art Books & Prints,515,345,233,23
3,ROOTENBERG RARE BOOKS,291,468,517,28
3,& MANUSCRIPTS,398,511,303,27
